member_id,name,profile_url,source_url,url_slug,honorific,page_title,biography,looking_for,crawl_status,crawl_error,crawled_at
mem_53686b30d5,Pierre LeVan,https://profiles.ucalgary.ca/pierre-levan,https://profiles.ucalgary.ca/pierre-levan,pierre-levan,Dr.,Pierre LeVan | UCalgary Profiles | University of Calgary,"Biography My research consists in the development of magnetic resonance imaging (MRI) methods to investigate brain function. I develop new data acquisition and processing technologies to characterize the healthy and diseased brain, particularly in the context of neurological disorders such as epilepsy and stroke. This can be used for the discovery of imaging biomarkers for disease diagnosis and to predict future outcomes, as well as to monitor the effects of therapeutic interventions. For example, this includes the identification of brain areas and brain states most vulnerable to epileptic seizures, or the characterization of functionality affected by a stroke that may then benefit from targeted treatments to optimize post-stroke recovery. On a more fundamental level, my research aims at better understanding how brain function and behaviour can be modulated by alterations in brain structure or by external brain stimulation.",,success,,2026-04-17T22:29:46.250848+00:00
mem_f36bd582f4,Qingrun Zhang,https://profiles.ucalgary.ca/qingrun-zhang,https://profiles.ucalgary.ca/qingrun-zhang,qingrun-zhang,Dr.,Qingrun Zhang | UCalgary Profiles | University of Calgary,,,success,,2026-04-17T22:29:47.947828+00:00
mem_750ab2b996,Quan Long,https://profiles.ucalgary.ca/quan-long,https://profiles.ucalgary.ca/quan-long,quan-long,Dr.,Quan Long | UCalgary Profiles | University of Calgary,Biography Please see my lab website at Google-Site .,,success,,2026-04-17T22:29:49.842973+00:00
mem_e4ccd8bf83,Quentin Jerome Pittman,https://profiles.ucalgary.ca/quentin-jerome-pittman,https://profiles.ucalgary.ca/quentin-jerome-pittman,quentin-jerome-pittman,Dr.,Quentin Jerome Pittman | UCalgary Profiles | University of Calgary,"Biography Quentin Pittman obtained his BA&Sc at ULethbridge and a PhD at UCalgary, then trained as a postdoctoral fellow at McGill and the Salk Institute. In 1980, he returned to Calgary, where he has received nearly 40 years of external, competitive salary awards as well as continuous research program support from the MRC/CIHR and other agencies. He is a Fellow of the Royal Society of Canada, Canadian Academy of Health Sciences and American Physiological Society and has given a number of named lectures to various societies and institutions. He has held committee and executive positions in a number of national and international scientific societies and has been a reviewing/assoc editor for several scientific journals. He has held several leadership positions within the Cumming School of Medicine, Hotchkiss Brain Institute and Alberta Children’s Hospital Research Institute. Dr. Pittman’s work, which has collectively been cited over 16,000 times, has been focused in 3 major areas: 1. Innate immunity, inflammation and the brain; 2. Cellular actions of peptides, mediators and neurotransmitters; 3. Early life programming of the brain and febrile seizures. Aside from neuroscience, his other passions include skiing, hiking and cycling, but he can be distracted by a good Scotch.",,success,,2026-04-17T22:29:52.082005+00:00
mem_ee14a139dc,Rajamannar Ramasubbu,https://profiles.ucalgary.ca/rajamannar-ramasubbu,https://profiles.ucalgary.ca/rajamannar-ramasubbu,rajamannar-ramasubbu,Dr.,Rajamannar Ramasubbu | UCalgary Profiles | University of Calgary,"Biography Dr. Ramasubbu is a clinician investigator and Professor in the Department of Psychiatry and Clinical Neurosciences at the University of Calgary. He is a full member at the Hotchkiss Brain Institute, and Mathison Centre for Mental Health Research & Education. Dr. Ramasubbu’s clinical and research interests include neuroimaging and neurostimulation of mood disorders. Current studies include imaging markers of treatment response to antidepressant medications, Theta Brain Stimulation (TBS), and Subcallosal Cingulate -Deep Brain Stimulation (SCC-DBS) for treatment-resistant depression (TRD). He is the Principal investigator of imaging studies in depression, TBS research, machine learning analysis in the prediction of antidepressant treatment response, and Co-Principal Investigator in Deep Brain Stimulation of SCC for TRD, funded by Alberta Innovates and Health Solutions (AIHS). Papers generated from SCC-DBS project have been published in high-impact journals such as Lancet Psychiatry, Neuropsychopharmacology and Brain Stimulation. He is a current member of many professional societies including the Canadian Psychiatric Association, Society of Biological Psychiatry, and the Canadian College of NeuroPsychopharmacology (CCNP). Dr. Ramasubbu has authored and co-authored around 90 articles in peer-reviewed journals. He serves on editorial boards, committees in professional societies, and as an external reviewer.",,success,,2026-04-17T22:29:54.482753+00:00
mem_ab971ed904,Rajiv Midha,https://profiles.ucalgary.ca/rajiv-midha,https://profiles.ucalgary.ca/rajiv-midha,rajiv-midha,Dr.,Rajiv Midha | UCalgary Profiles | University of Calgary,"Biography Rajiv Midha, MD, MSc, FRCS(C), FAANS, FCAHS Professor and Head, Dept of Clinical Neurosciences (DCNS) and Head, DCNS, Alberta Health Services (Calgary Zone), Cumming School of Medicine, University of Calgary. Scientist and Executive, Hotchkiss Brain Institute, University of Calgary http://www.ucalgary.ca/dcns/ Dr. Rajiv Midha was born in India in 1962 and immigrated to North America in 1972. He received his medical degree (1987), MSc (under Susan Mackinnon’s supervision in 1991), and neurosurgical training (completed in 1995), all from the University of Toronto. He obtained clinical fellowships in peripheral nerve neurosurgery at St. Michaels’ Hospital in Toronto, and at Louisiana State University in New Orleans (under David Kline). Dr. Midha has published over 175 peer-reviewed articles, as well as in textbooks, with over 300 total publications, mostly related to peripheral nerve neurobiology and surgery. He has co-edited 4 textbooks on peripheral nerve surgery. Dr Midha is internationally recognized as an authority on peripheral nerve surgery, having given over 300 lectures world-wide, and serving as past president of the two foremost international societies related to this specialty, American Society for Peripheral Nerve and the Sunderland Society. In addition, he is the current section editor for peripheral nerve for Neurosurgery and World Neurosurgery , and former board member for Journal of Neurosurgery . Dr. Midha runs a CIHR peer-reviewed funded basic science laboratory investigating nerve regeneration, and is a Neuroscientist member and executive member of the Hotchkiss Brain Institute (HBI) at the University of Calgary. He has a special interest in peripheral nerve function, injury, repair, grafting, and regeneration. In the recent past, the main thrust of the research lab has been on developing novel cell based therapies to improve outcome from nerve repair. Dr. Midha is presently Professor and Head of the Department of Clinical Neurosciences at the University of Calgary. The Department of Clinical Neurosciences is highly academic, composed of more than 100 Faculty members, and is organized into the Divisions of Neurology, Neurosurgery, Physical Medicine and Rehabilitation and Translational Neurosciences All areas of sub- specialization in neurology, neurosurgery and physiatry are covered, and each clinical Division has strong residency training programs as well as multiple Fellowships.",,success,,2026-04-17T22:29:56.569456+00:00
mem_79f23a1fd5,Ranita Manocha,https://profiles.ucalgary.ca/ranita-manocha,https://profiles.ucalgary.ca/ranita-manocha,ranita-manocha,Dr.,Ranita Manocha | UCalgary Profiles | University of Calgary,"Biography Dr. Ranita Manocha is a Clinical Associate Professor in the Division of Physical Medicine & Rehabilitation (PM&R) and an Adjunct Associate Professor in the Faculty of Kinesiology at the University of Calgary. Dr. Manocha’s research interests involve upper limb biomechanics, walking aids, braces, and connective tissue disorders. She has evaluated Canadian professional school curricula around walking aids and has developed an interactive app, brochures, and online educational videos to help patients, caregivers, clinicians, and clinicians-in-training learn how to safely use walking aids. She has investigated how Hypermobility Spectrum Disorders and hypermobile Ehlers-Danlos Syndrome affect quality of life, and she has collaborated with scientists to understand how joint hypermobility conditions affect strength, gait, proprioception and tendon stiffness. Dr. Manocha is currently aiming to work with graduate and post-doctoral research trainees. She has supervised award-winning research trainees from Community Disability and Rehabilitation Studies, Engineering, Health Sciences, Kinesiology, Medicine, Occupational Therapy, and Physical Therapy. Dr. Manocha is passionate about using transdisciplinary approaches to address research questions, and building a diverse research team. Dr. Manocha developed the Connective Tissue Disorders Rehabilitation Clinic at Foothills Medical Centre where she works with patients with conditions such as generalized joint hypermobility, the Ehlers-Danlos Syndromes, Marfan Syndrome, Loewy-Dietz Syndrome, Down Syndrome, Stickler Syndrome, and familial thoracic aneurysm and dissection syndromes, amongst others. Dr. Manocha also built the Bracing and Mobility Clinic at Foothills Medical Centre where she works with patients who require braces for the upper or lower limbs or spine, or who have difficulties with walking. Dr. Manocha also does outpatient electromyography and wheelchair seating clinics. Finally, Dr. Manocha is very passionate about teaching. She has helped develop the bracing and wheelchair seating curricula for the physiatry residents in Calgary and has been involved in graduate seminars, undergraduate medicine and undergraduate kinesiology education around musculoskeletal health. She has supervised a number of clinical trainees from undergraduate medicine, family medicine, geriatrics, internal medicine, neurology, orthopedic surgery, pediatric neurology, pediatrics, physiatry, palliative medicine, and vascular surgery. Dr. Manocha's grand visions are: to develop a multidisciplinary centre for assessment and management of Connective Tissue Disorders in Southern Alberta, to build the research evidence for rehabilitating conditions that cause ligamentous laxity, to build a centre for clinical excellence in bracing in Southern Alberta, to build local research capacity in evaluating brace and walking aid effectiveness, to develop a national program to evaluate walking aids, and to improve public and clinical professional awareness of the PM&R specialty. Please reach out if you are interested in collaborating.",I'm looking for... Funding Research partners Study participants Please click here for more information.,success,,2026-04-17T22:29:58.222514+00:00
mem_cf878ce2e9,Raymond Turner,https://profiles.ucalgary.ca/raymond-turner,https://profiles.ucalgary.ca/raymond-turner,raymond-turner,Prof.,Raymond Turner | UCalgary Profiles | University of Calgary,"Background Educational Background B.Sc. Biochemistry, University of Calgary, Doctor of Philosophy Biophysical Chemistry, University of Calgary, Post Doctoral Fellow Biochemistry, University of Alberta,",,success,,2026-04-17T22:30:00.480472+00:00
mem_6a980d0db4,Rebecca Charbonneau,https://profiles.ucalgary.ca/rebecca-charbonneau,https://profiles.ucalgary.ca/rebecca-charbonneau,rebecca-charbonneau,Dr.,Rebecca Charbonneau | UCalgary Profiles | University of Calgary,"Biography Dr. Rebecca Charbonneau is a Clinical Associate Professor in the Division of Physical Medicine and Rehabilitation in the Department of Clinical Neurosciences at the University of Calgary. She is also the Medical Lead for Spinal Cord Injury Rehabilitation at the Foothills Medical Centre in Calgary. She has a research and clinical interest in the prevention and management of complications following spinal cord injury, as well as the delivery of healthcare services following spinal cord injury. Certifications: CSCN Diplomate (EMG), Canadian Neurological Sciences Federation Licentiate of the Medical Council of Canada II",,success,,2026-04-17T22:30:02.444602+00:00
mem_9b324ec216,Rebecca Saah,https://profiles.ucalgary.ca/rebecca-saah,https://profiles.ucalgary.ca/rebecca-saah,rebecca-saah,,Rebecca Saah | UCalgary Profiles | University of Calgary,"Background Educational Background Doctor of Philosophy Behavioural Health Sciences and Addiction Studies, University of Toronto, 2008 Master of Arts Sociology, York University, 1998 Bachelor of Arts English and Sociology - Joint Honours, McGill University, 1995",,success,,2026-04-17T22:30:04.421451+00:00
